id	title	url
1	Interference-Aware Multiplexing for Deep Learning in GPU Clusters: A Middleware Approach	https://sc23.supercomputing.org/proceedings/tech_paper/tech_paper_pages/pap290.html
2	Hierarchical Resource Partitioning on Modern GPUs: A Reinforcement Learning Approach	https://arxiv.org/html/2405.08754v1
3	Interference-aware opportunistic job placement for shared distributed deep learning clusters - ScienceDirect	https://www.sciencedirect.com/science/article/abs/pii/S0743731523001466
4	Gandiva: Introspective Cluster Scheduling for Deep Learning - Microsoft Research	https://www.microsoft.com/en-us/research/publication/gandiva-introspective-cluster-scheduling-for-deep-learning/
5	Fine-Grained GPU Sharing Primitives for Deep Learning Applications	https://proceedings.mlsys.org/paper_files/paper/2020/hash/d9cd83bc91b8c36a0c7c0fcca59228f2-Abstract.html
6	Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning | USENIX	https://www.usenix.org/conference/osdi21/presentation/qiao
7	[1810.01963] Learning Scheduling Algorithms for Data Processing Clusters	https://arxiv.org/abs/1810.01963
8	[1909.06040] DL2: A Deep Learning-driven Scheduler for Deep Learning Clusters	https://arxiv.org/abs/1909.06040
9	RIFLING: A reinforcement learning‐based GPU scheduler ...	https://onlinelibrary.wiley.com/doi/full/10.1002/spe.3066
10	Topology-aware GPU job scheduling with deep reinforcement learning and heuristics - ScienceDirect	https://www.sciencedirect.com/science/article/abs/pii/S0743731525001054
11	Approximations and Optimal Control for State-Dependent Limited Processor Sharing Queues	https://pubsonline.informs.org/doi/pdf/10.1287/stsy.2021.0087
12	OPTIMAL ADMISSION CONTROL IN QUEUES WITH WORKLOAD-DEPENDENT SERVICE RATES | Probability in the Engineering and Informational Sciences | Cambridge Core	https://www.cambridge.org/core/journals/probability-in-the-engineering-and-informational-sciences/article/optimal-admission-control-in-queues-with-workloaddependent-service-rates/215C41699880E5D73BD385FE3ED0DD80
13	A survey on discriminatory processor sharing | Queueing Systems | Springer Nature Link	https://link.springer.com/article/10.1007/s11134-006-7586-8
14	Stability properties of constrained queueing systems and ...	https://www.di.ens.fr/~busic/mar/projets/TE92.pdf
15	Learning While Scheduling in Multi-Server Systems With Unknown Statistics: MaxWeight with Discounted UCB	https://proceedings.mlr.press/v206/yang23d.html
16	[2011.07401] RL-QN: A Reinforcement Learning Framework for Optimal Control of Queueing Systems	https://arxiv.org/abs/2011.07401
17	Queueing Network Controls via Deep Reinforcement Learning | Stochastic Systems	https://pubsonline.informs.org/doi/10.1287/stsy.2021.0081
18	[1907.10792] Simple Near-Optimal Scheduling for the M/G/1	https://arxiv.org/abs/1907.10792
19	AlloX: Compute Allocation in Hybrid Clusters	https://www.mosharaf.com/wp-content/uploads/allox-eurosys20.pdf
20	Deep Learning Workload Scheduling in GPU Datacenters: Taxonomy, Challenges and Vision	https://arxiv.org/pdf/2205.11913
21	Themis: Fair and Efficient GPU Cluster Scheduling  | USENIX	https://www.usenix.org/conference/nsdi20/presentation/mahajan
22	Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads | USENIX	https://www.usenix.org/conference/osdi20/presentation/narayanan-deepak
23	Sia: Heterogeneity-aware, goodput-optimized ML-cluster scheduling	https://www.pdl.cmu.edu/PDL-FTP/BigLearning/sia_sosp23-final.pdf
24	ResLake: Towards Minimum Job Latency and Balanced Resource Utilization in Geo-distributed Job Scheduling	https://www.vldb.org/pvldb/vol17/p3934-kashaf.pdf
25	Workload Placement on Heterogeneous CPU-GPU Systems	https://upcommons.upc.edu/bitstreams/85fd168e-8c7b-442f-923e-ea166c79ef5b/download
26	Submission Guidelines | Operations Research	https://pubsonline.informs.org/page/opre/submission-guidelines
27	[2008.12260] Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning	https://arxiv.org/abs/2008.12260
28	[2008.09213] Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads	https://arxiv.org/abs/2008.09213
29	Learning While Scheduling in Multi-Server Systems with Unknown Statistics: MaxWeight with Discounted UCB	https://arxiv.org/abs/2209.01126
30	Salus: Fine-Grained GPU Sharing Primitives for Deep Learning Applications	https://arxiv.org/abs/1902.04610
